"locus" "pop" "N.alleles" "H.exp" "Hobs" "AR"
"Du215" "Sem" "2" "0.5" "1" "2"
"Du215" "Ukr" "3" "0.545" "1" "2.99968702183892"
"mean"  "2.5" "0.5225" "1" "2.49984351091946"
"SE"  "0.5" "0.0225" "0" "0.49984351091946"
"Du215" "total" "3" "0.525566106647188" "1" "3"
"Du281" "Sem" "3" "0.562716262975778" "1" "3"
"Du281" "Ukr" "3" "0.58" "1" "2.9999999829237"
"mean"  "3" "0.571358131487889" "1" "2.99999999146185"
"SE"  "0" "0.00864186851211074" "0" "8.53815196322216e-09"
"Du281" "total" "3" "0.572406866325785" "1" "3"
"Du323" "Sem" "3" "0.514273356401384" "1" "3"
"Du323" "Ukr" "3" "0.58" "1" "2.9999999829237"
"mean"  "3" "0.547136678200692" "1" "2.99999999146185"
"SE"  "0" "0.0328633217993079" "0" "8.53815196322216e-09"
"Du323" "total" "3" "0.553414901387874" "1" "3"
"Du47G" "Sem" "4" "0.52681660899654" "0.911764705882353" "4"
"Du47G" "Ukr" "3" "0.545" "0.9" "2.99968702183892"
"mean"  "3.5" "0.53590830449827" "0.905882352941176" "3.49984351091946"
"SE"  "0.5" "0.00909169550173006" "0.00588235294117645" "0.50015648908054"
"Du47G" "total" "5" "0.538897005113221" "0.905405405405405" "5"
